pred_race,race,black_zip,black_name,sex,yearofbirth,incarcerated,absconder,predator,block_level
Black,Black,1,1,Male,1982.0,0,0,0,1
White,White,1,1,Male,1983.0,0,0,0,1
American Indian or Alaskan Native,Black,1,1,Male,1981.0,1,0,0,1
Black,Black,1,1,Male,1972.0,1,0,0,1
Black,Black,1,1,Male,1964.0,0,0,0,1
Black,Black,1,1,Male,1984.0,1,0,0,1
White,White,1,1,Male,1947.0,0,0,0,1
White,Black,1,1,Male,1972.0,1,0,0,0
Black,Black,1,1,Male,1988.0,0,0,0,1
White,White,1,1,Male,1981.0,0,0,0,1
White,White,1,1,Male,1953.0,0,0,0,0
White,White,1,1,Male,1980.0,0,0,0,1
White,White,1,1,Male,1973.0,1,0,0,0
Asian or Pacific Islander,White,1,1,Male,1968.0,0,0,0,1
White,White,1,1,Female,1966.0,0,0,0,1
Black,Black,1,1,Male,1954.0,1,0,0,0
Black,Black,1,1,Male,1955.0,0,0,0,0
Black,Black,1,1,Male,1979.0,0,0,0,1
Black,Black,1,1,Male,1966.0,0,0,0,1
White,White,1,1,Male,1966.0,0,0,0,1
White,White,1,1,Male,1966.0,0,0,0,1
White,White,1,1,Male,1965.0,0,0,0,1
Black,Black,1,1,Male,1974.0,0,0,0,1
White,Black,1,1,Male,1972.0,0,0,0,0
Black,Black,1,1,Male,1961.0,0,1,0,1
Black,Black,1,1,Male,1980.0,1,0,0,0
Black,Black,1,1,Male,1982.0,1,0,0,1
Black,Black,1,1,Male,1967.0,0,0,0,0
American Indian or Alaskan Native,Black,1,1,Male,1978.0,0,0,0,1
Black,White,1,1,Male,1985.0,1,0,0,1
White,White,1,1,Male,1969.0,0,0,0,1
White,White,1,1,Male,1965.0,0,0,0,0
White,White,1,1,Male,1953.0,0,0,0,1
Asian or Pacific Islander,Black,1,1,Male,1974.0,0,0,0,1
White,White,1,1,Male,1938.0,0,0,0,1
Black,White,1,1,Male,1939.0,1,0,0,0
White,Black,1,1,Male,1973.0,1,0,0,1
Black,Black,1,1,Male,1955.0,0,0,0,1
American Indian or Alaskan Native,White,1,1,Male,1953.0,0,1,0,1
Black,Black,1,1,Male,1983.0,0,0,0,1
Black,Black,1,1,Male,1967.0,0,0,0,1
American Indian or Alaskan Native,Black,1,1,Male,1989.0,0,0,0,1
Black,Black,1,1,Male,1959.0,0,0,0,1
Black,Black,1,1,Male,1931.0,0,0,0,1
Black,Black,1,1,Male,1956.0,0,0,0,1
White,White,1,1,Male,1983.0,0,0,0,1
Black,Black,1,1,Male,1976.0,0,0,0,1
Black,Black,1,1,Male,1961.0,0,0,0,1
Other,Black,1,1,Male,1968.0,0,0,0,1
Black,Black,1,1,Male,1972.0,1,0,0,1
