Split,True_Race,American Indian or Alaskan Native,American Indian or Alaskan Native-percent,Hispanic,Hispanic-percent,Other,Other-percent,Black,Black-percent,Asian or Pacific Islander,Asian or Pacific Islander-percent,White,White-percent,Accuracy
1,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
1,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
1,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
1,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
1,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
1,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
1,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
1,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
1,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
1,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
1,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
1,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
1,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
1,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
1,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
1,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
1,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
1,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
1,Black,1160,5.61,65,0.31,51,0.24,5183,25.08,885,4.28,2043,9.88,0.600687385032
1,Black,1160,5.61,65,0.31,51,0.24,5183,25.08,885,4.28,2043,9.88,0.600687385032
1,Black,1160,5.61,65,0.31,51,0.24,5183,25.08,885,4.28,2043,9.88,0.600687385032
1,Black,1160,5.61,65,0.31,51,0.24,5183,25.08,885,4.28,2043,9.88,0.600687385032
1,Black,1160,5.61,65,0.31,51,0.24,5183,25.08,885,4.28,2043,9.88,0.600687385032
1,Black,1160,5.61,65,0.31,51,0.24,5183,25.08,885,4.28,2043,9.88,0.600687385032
1,Asian or Pacific Islander,4,0.01,3,0.01,1,0.0,2,0.0,20,0.09,22,0.1,0.600687385032
1,Asian or Pacific Islander,4,0.01,3,0.01,1,0.0,2,0.0,20,0.09,22,0.1,0.600687385032
1,Asian or Pacific Islander,4,0.01,3,0.01,1,0.0,2,0.0,20,0.09,22,0.1,0.600687385032
1,Asian or Pacific Islander,4,0.01,3,0.01,1,0.0,2,0.0,20,0.09,22,0.1,0.600687385032
1,Asian or Pacific Islander,4,0.01,3,0.01,1,0.0,2,0.0,20,0.09,22,0.1,0.600687385032
1,Asian or Pacific Islander,4,0.01,3,0.01,1,0.0,2,0.0,20,0.09,22,0.1,0.600687385032
0,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
0,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
0,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
0,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
0,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
0,Unknown,1,0.0,3,0.01,0,0.0,6,0.02,4,0.01,3,0.01,0.600687385032
0,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
0,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
0,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
0,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
0,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
0,White,924,4.47,473,2.28,54,0.26,1969,9.53,553,2.67,7206,34.88,0.600687385032
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,10,0.04,0.600687385032
