Label,Rules,Quality,Score
0,IF Education==Masters AND Warnings==low AND Years==>6 THEN Bonus=yes ,0.871428571429,0.1471999999999999
1,IF Education==Masters AND Gender!=F AND Years==3-6 THEN Bonus=yes ,0.823943661972,0.20399999999999985
2,IF Education==Masters AND Warnings==high AND Years==>6 THEN Bonus=yes ,0.820689655172,0.1471999999999999
3,IF Education==Masters AND Years==<3 AND Gender==F THEN Bonus=yes ,0.799196787149,0.20399999999999985
4,IF Education==Masters AND Warnings==low AND Race==B THEN Bonus=yes ,0.828125,0.18419999999999992
5,IF Education==Masters AND Years==<3 AND Warnings==low THEN Bonus=yes ,0.780487804878,0.1471999999999999
6,IF Education==Masters AND Race!=B AND Years==>6 THEN Bonus=yes ,0.78021978022,0.18419999999999992
7,IF Education==Masters AND Race!=B AND Warnings!=low THEN Bonus=yes ,0.771929824561,0.18419999999999992
8,IF Education==Highschool AND Warnings==medium AND Years==3-6 THEN Bonus=no ,0.768786127168,0.1471999999999999
9,IF Education==Highschool AND Warnings==medium AND Race==B THEN Bonus=no ,0.735632183908,0.18419999999999992
10,IF Education==Masters AND Warnings==high THEN Bonus=yes ,0.735294117647,0.1439999999999999
11,IF Education==Highschool AND Warnings==low AND Years==>6 THEN Bonus=no ,0.725888324873,0.1471999999999999
12,IF Education==Masters AND Race==B AND Years==3-6 THEN Bonus=yes ,0.722222222222,0.18419999999999992
13,IF Education==Highschool AND Years==3-6 AND Warnings!=low THEN Bonus=no ,0.71921182266,0.1471999999999999
14,IF Education==Highschool AND Gender!=F AND Warnings==low THEN Bonus=no ,0.711267605634,0.20399999999999985
15,IF Education==Masters AND Gender==F AND Race==B THEN Bonus=yes ,0.711111111111,0.24099999999999988
16,IF Education==Highschool AND Warnings==medium AND Years==<3 THEN Bonus=no ,0.701492537313,0.1471999999999999
17,IF Education==Highschool AND Race!=B AND Warnings==high THEN Bonus=no ,0.69918699187,0.18419999999999992
18,IF Education==Highschool AND Gender==F AND Warnings==medium THEN Bonus=no ,0.6875,0.20399999999999985
19,IF Education==Highschool AND Gender!=F AND Race==B THEN Bonus=no ,0.6625,0.24099999999999988
20,IF Education==Highschool AND Years==3-6 AND Race!=B THEN Bonus=no ,0.647058823529,0.18419999999999992
21,IF Education==Masters AND Years!=>6 THEN Bonus=yes ,0.622641509434,0.1439999999999999
22,IF Gender!=F AND Race==B AND Years==3-6 THEN Bonus=yes ,0.622641509434,0.10339999999999994
23,IF Education==Highschool AND Years==<3 AND Warnings==low THEN Bonus=no ,0.617021276596,0.1471999999999999
24,IF Years==>6 AND Warnings==low AND Gender!=F THEN Bonus=yes ,0.615384615385,0.0663999999999999
25,IF Gender==F AND Race!=B AND Warnings==low THEN Bonus=yes ,0.592233009709,0.10339999999999994
26,IF Years==>6 AND Gender==F AND Warnings==high THEN Bonus=yes ,0.590604026846,0.0663999999999999
27,IF Years==>6 AND Gender==F AND Race!=B THEN Bonus=yes ,0.594202898551,0.10339999999999994
28,IF Years!=<3 AND Race!=B AND Gender==F THEN Bonus=yes ,0.584507042254,0.10339999999999994
29,IF Race!=B AND Gender==F AND Warnings!=medium THEN Bonus=no ,0.606060606061,0.10339999999999994
30,IF Warnings==high AND Years==<3 AND Race!=B THEN Bonus=yes ,0.585714285714,0.046599999999999975
31,IF Race==B AND Gender!=F AND Warnings==low THEN Bonus=yes ,0.583333333333,0.10339999999999994
32,IF Years==>6 AND Race!=B AND Warnings!=medium THEN Bonus=yes ,0.576923076923,0.046599999999999975
33,IF Warnings==medium AND Race==B AND Gender!=F THEN Bonus=yes ,0.568965517241,0.10339999999999994
34,IF Years==<3 AND Gender!=F AND Warnings==medium THEN Bonus=no ,0.569444444444,0.0663999999999999
35,IF Years==>6 AND Warnings==high THEN Bonus=no ,0.565217391304,0.006399999999999961
36,IF Years==>6 AND Warnings==low THEN Bonus=yes ,0.561403508772,0.006399999999999961
37,IF Years!=<3 AND Warnings==low AND Race==B THEN Bonus=no ,0.559139784946,0.046599999999999975
38,IF Warnings==medium AND Years==3-6 AND Race==B THEN Bonus=yes ,0.558823529412,0.046599999999999975
39,IF Years==>6 AND Race==B THEN Bonus=yes ,0.553846153846,0.043399999999999994
40,IF Years==>6 AND Education!=Highschool THEN Bonus=yes ,0.550724637681,0.1439999999999999
41,IF Warnings==high AND Years==<3 AND Education!=Highschool THEN Bonus=yes ,0.549450549451,0.1471999999999999
42,IF Years==<3 AND Warnings!=low AND Race==B THEN Bonus=no ,0.550561797753,0.046599999999999975
43,IF Race==B AND Years==<3 THEN Bonus=yes ,0.541666666667,0.043399999999999994
44,IF Warnings==medium AND Years==3-6 THEN Bonus=yes ,0.540540540541,0.006399999999999961
45,IF Race==B THEN Bonus=yes ,0.5375,0.040200000000000014
46,IF Warnings!=medium AND Years==<3 THEN Bonus=no ,0.533333333333,0.006399999999999961
47,IF Warnings==low THEN Bonus=yes ,0.528571428571,0.0031999999999999806
48,IF Years==3-6 THEN Bonus=no ,0.523255813953,0.0031999999999999806
49,IF Gender==F THEN Bonus=yes ,0.523076923077,0.05999999999999994
50,IF TRUE THEN Bonus=yes ,0.52,0.0
