@relation BlackBoxAuditing
@attribute checking_status {"no checking",>=200,0<=X<200,<0}
@attribute duration numeric
@attribute credit_history {"no credits/all paid","all paid","delayed previously","critical/other existing credit","existing paid"}
@attribute purpose {repairs,education,"used car",business,retraining,furniture/equipment,"domestic appliance","new car",other,radio/tv}
@attribute credit_amount numeric
@attribute savings_status {500<=X<1000,<100,>=1000,100<=X<500,"no known savings"}
@attribute employment {>=7,4<=X<7,unemployed,1<=X<4,<1}
@attribute installment_commitment numeric
@attribute personal_status {"female div/dep/mar","male single","male mar/wid","male div/sep"}
@attribute other_parties {guarantor,"co applicant",none}
@attribute residence numeric
@attribute property_magnitude {"life insurance",car,"no known property","real estate"}
@attribute age_cat {old,young}
@attribute other_payment_plans {none,stores,bank}
@attribute housing {"for free",own,rent}
@attribute existing_credits numeric
@attribute job {"high qualif/self emp/mgmt",skilled,"unskilled resident","unemp/unskilled non res"}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {bad,good}

@data
"no checking",12,"critical/other existing credit",education,2096,<100,4<=X<7,2,"male single",none,3,"real estate",old,none,own,1,"unskilled resident",2,none,yes,good
"no checking",24,"existing paid",furniture/equipment,2835,500<=X<1000,>=7,3,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
"no checking",12,"existing paid",radio/tv,3059,>=1000,4<=X<7,2,"male div/sep",none,4,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,12,"existing paid","new car",1295,<100,<1,3,"female div/dep/mar",none,1,car,young,none,rent,1,skilled,1,none,yes,bad
<0,48,"existing paid",business,4308,<100,<1,3,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
<0,24,"critical/other existing credit","new car",1199,<100,>=7,4,"male single",none,4,car,old,none,own,2,"unskilled resident",1,none,yes,bad
<0,15,"existing paid","new car",1403,<100,1<=X<4,2,"female div/dep/mar",none,4,car,old,none,rent,1,skilled,1,none,yes,good
<0,24,"existing paid",radio/tv,1282,100<=X<500,1<=X<4,4,"female div/dep/mar",none,2,car,old,none,own,1,"unskilled resident",1,none,yes,bad
"no checking",24,"critical/other existing credit",radio/tv,2424,"no known savings",>=7,4,"male single",none,4,"life insurance",old,none,own,2,skilled,1,none,yes,good
<0,30,"no credits/all paid",business,8072,"no known savings",<1,2,"male single",none,3,car,young,bank,own,3,skilled,1,none,yes,good
0<=X<200,24,"existing paid","used car",12579,<100,>=7,4,"female div/dep/mar",none,2,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",24,"existing paid",radio/tv,3430,500<=X<1000,>=7,3,"male single",none,2,car,old,none,own,1,skilled,2,yes,yes,good
<0,6,"existing paid",radio/tv,2647,500<=X<1000,1<=X<4,2,"male single",none,3,"real estate",old,none,rent,1,skilled,2,none,yes,good
0<=X<200,12,"critical/other existing credit","used car",1804,100<=X<500,<1,3,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
"no checking",10,"critical/other existing credit",furniture/equipment,2069,"no known savings",1<=X<4,2,"male mar/wid",none,1,car,old,none,own,2,skilled,1,none,no,good
<0,6,"existing paid",furniture/equipment,1374,<100,1<=X<4,1,"male single",none,2,"real estate",old,bank,own,1,"unskilled resident",1,yes,yes,good
>=200,12,"all paid",radio/tv,409,>=1000,1<=X<4,3,"female div/dep/mar",none,3,"real estate",old,none,rent,2,skilled,1,none,yes,good
0<=X<200,18,"existing paid",business,1913,>=1000,<1,3,"male mar/wid",none,3,"real estate",old,bank,own,1,skilled,1,yes,yes,good
<0,24,"existing paid",furniture/equipment,4020,<100,1<=X<4,2,"male single",none,2,car,old,stores,own,1,skilled,1,none,yes,good
0<=X<200,18,"existing paid","new car",5866,100<=X<500,1<=X<4,2,"male single",none,2,car,old,none,own,2,skilled,1,yes,yes,good
"no checking",12,"critical/other existing credit",business,1264,"no known savings",>=7,4,"male single",none,4,"no known property",old,none,rent,1,"unskilled resident",1,none,yes,good
"no checking",48,"critical/other existing credit",education,6110,<100,1<=X<4,1,"male single",none,3,"no known property",old,bank,"for free",1,skilled,1,yes,yes,good
>=200,18,"existing paid",radio/tv,2100,<100,1<=X<4,4,"male single","co applicant",2,"real estate",old,stores,own,1,skilled,1,none,yes,bad
"no checking",30,"existing paid",radio/tv,2333,500<=X<1000,>=7,4,"male single",none,2,car,old,bank,own,1,"high qualif/self emp/mgmt",1,none,yes,good
0<=X<200,12,"existing paid",radio/tv,1158,500<=X<1000,1<=X<4,3,"male div/sep",none,1,car,old,none,own,1,skilled,1,yes,yes,good
<0,30,"critical/other existing credit","used car",6187,100<=X<500,4<=X<7,1,"male mar/wid",none,4,car,young,none,rent,2,skilled,1,none,yes,good
<0,48,"critical/other existing credit","used car",6143,<100,>=7,4,"female div/dep/mar",none,4,"no known property",old,stores,"for free",2,"unskilled resident",1,none,yes,bad
"no checking",11,"critical/other existing credit","new car",1393,<100,<1,4,"female div/dep/mar",none,4,car,old,none,own,2,"high qualif/self emp/mgmt",1,none,yes,good
"no checking",36,"existing paid",radio/tv,2299,500<=X<1000,>=7,4,"male single",none,4,car,old,none,own,1,skilled,1,none,yes,good
<0,6,"existing paid","used car",1352,500<=X<1000,unemployed,1,"female div/dep/mar",none,2,"life insurance",young,none,rent,1,"unemp/unskilled non res",1,yes,yes,good
"no checking",11,"critical/other existing credit","new car",7228,<100,1<=X<4,1,"male single",none,4,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
"no checking",12,"existing paid",radio/tv,2073,100<=X<500,1<=X<4,4,"female div/dep/mar","co applicant",2,"real estate",old,none,own,1,skilled,1,none,yes,good
